% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0402143	6	26	4	2.84257e-10	14.2767	0
0.0402143	6	30	3	2.41685e-11	0.865391	0
0.0402143	6	51	1	1.3017e-10	7.29137	0
0.0402143	6	56	2	5.97759e-10	21.4863	0
0.0402143	7	20	3	2.70856e-11	0.150643	0
0.0402143	7	29	1	1.39196e-10	1.11276	0
0.0402143	8	48	1	5.81629e-11	0.47651	0
0.0402143	9	40	1	1.44785e-10	4.50153	0
0.0402143	10	35	2	1.15098e-10	1.69303	0
0.0402143	10	42	1	3.71441e-10	2.82076	0
0.0402143	11	55	1	1.21116e-10	1.03379	0
0.0402143	12	18	1	3.48116e-10	0.77761	0
0.0402143	13	31	3	9.88938e-11	4.12842	0
0.0402143	13	33	6	1.76621e-10	4.84442	0
0.0402143	13	34	2	1.00307e-09	19.1695	0
0.0402143	13	37	1	1.568e-10	5.5344	0
0.0402143	13	41	4	9.40432e-10	15.8382	0
0.0402143	16	21	3	2.29555e-11	1.01882	0
0.0402143	16	43	1	9.51642e-11	0.587202	0
0.0402143	16	46	2	2.21609e-10	2.21681	0
0.0402143	17	25	9	5.06535e-11	1.30749	0
0.0402143	17	27	3	1.66218e-11	0.564428	0
0.0402143	17	28	2	3.34315e-11	0.920678	0
0.0402143	17	38	7	7.50853e-11	3.65049	0
0.0402143	17	45	1	1.29329e-11	0.53877	0
0.0402143	17	47	4	1.9844e-11	0.642117	0
0.0402143	17	52	10	4.26769e-11	1.42498	0
0.0402143	17	53	8	2.15268e-10	8.97911	0
0.0402143	18	57	1	9.94276e-11	0.429392	0
0.0402143	19	54	1	1.11058e-10	5.23265	0
0.0402143	21	17	5	3.47602e-11	0.608271	0
0.0402143	21	32	2	3.53114e-10	4.38721	0
0.0402143	21	44	1	1.05028e-10	1.00963	0
0.0402143	22	1	1	3.96469e-10	11.8438	0
0.0402143	23	2	1	2.34878e-09	65.3519	0
0.0402143	24	3	3	5.83885e-11	0.175626	0
0.0402143	25	4	1	1.25311e-10	0.631727	0
0.0402143	26	5	0	7.85841e-12	16567	0
0.0402143	27	6	1	1.8621e-10	0.460949	0
0.0402143	28	7	2	9.90227e-11	0.44464	0
0.0402143	29	8	1	5.85538e-10	64.5043	0
0.0402143	30	9	1	1.55632e-09	21.6567	0
0.0402143	31	10	1	9.51998e-11	200699	0
0.0402143	32	11	1	1.17833e-09	7.40345	0
0.0402143	33	12	1	9.2498e-10	38.1403	0
0.0402143	34	13	1	1.11509e-10	5.51586	0
0.0402143	35	14	1	5.28237e-11	28973.2	0
0.0402143	36	15	1	1.66554e-10	8.52247	0
0.0402143	37	16	1	5.17016e-11	0.830377	0
0.0412143	2	39	1	1.85038e-10	2.29753	0
0.0412143	3	22	3	1.56924e-10	5.73035	0
0.0412143	3	23	1	8.41326e-11	1.70458	0
0.0412143	3	50	2	5.30672e-11	1.65	0
0.0412143	4	19	2	4.64263e-10	41.3456	0
0.0412143	4	36	1	1.57454e-11	1.2337	0
0.0412143	4	49	3	7.41152e-10	35.1226	0
0.0412143	6	24	6	2.65586e-10	13.3791	0
0.0412143	6	26	4	2.84257e-10	14.2761	0
0.0412143	6	30	3	2.41685e-11	0.865389	0
0.0412143	6	51	1	1.3017e-10	7.29107	0
0.0412143	6	56	2	5.97759e-10	21.4862	0
0.0412143	7	20	3	2.70856e-11	0.150638	0
0.0412143	7	29	1	1.39196e-10	1.11273	0
0.0412143	8	48	1	5.81629e-11	0.476509	0
0.0412143	9	40	1	1.44785e-10	4.50148	0
0.0412143	10	35	2	1.15098e-10	1.69285	0
0.0412143	10	42	1	3.71441e-10	2.8204	0
0.0412143	11	55	1	1.21116e-10	1.03378	0
0.0412143	12	18	1	3.48116e-10	0.777462	0
0.0412143	13	31	3	9.88938e-11	4.12837	0
0.0412143	13	33	6	1.76621e-10	4.84441	0
0.0412143	13	34	2	1.00307e-09	19.1694	0
0.0412143	13	37	1	1.568e-10	5.53438	0
0.0412143	13	41	4	9.40432e-10	15.8382	0
0.0412143	16	21	3	2.29555e-11	1.01881	0
0.0412143	16	43	1	9.51642e-11	0.587199	0
0.0412143	16	46	2	2.21609e-10	2.21678	0
0.0412143	17	25	9	5.06535e-11	1.30748	0
0.0412143	17	27	3	1.66218e-11	0.564427	0
0.0412143	17	28	2	3.34315e-11	0.920678	0
0.0412143	17	38	7	7.50853e-11	3.65049	0
0.0412143	17	45	1	1.29329e-11	0.538768	0
0.0412143	17	47	4	1.9844e-11	0.642117	0
0.0412143	17	52	10	4.26769e-11	1.42498	0
0.0412143	17	53	8	2.15268e-10	8.97901	0
0.0412143	18	57	1	9.94276e-11	0.429383	0
0.0412143	19	54	1	1.11058e-10	5.23256	0
0.0412143	21	17	5	3.47602e-11	0.608269	0
0.0412143	21	32	2	3.53114e-10	4.38721	0
0.0412143	21	44	1	1.05028e-10	1.00962	0
0.0412143	22	1	1	3.96469e-10	11.8435	0
0.0412143	23	2	1	2.34878e-09	65.3515	0
0.0412143	24	3	3	5.83885e-11	0.175617	0
0.0412143	25	4	1	1.25311e-10	0.631718	0
0.0412143	26	5	0	7.85841e-12	16567	0
0.0412143	27	6	1	1.8621e-10	0.460947	0
0.0412143	28	7	2	9.90227e-11	0.443515	0
0.0412143	29	8	1	5.85538e-10	64.5038	0
0.0412143	30	9	1	1.55632e-09	21.6565	0
0.0412143	31	10	1	9.51998e-11	0.25706	0
0.0412143	32	11	1	1.17833e-09	7.40327	0
0.0412143	33	12	1	9.2498e-10	38.1403	0
0.0412143	34	13	1	1.11509e-10	5.51575	0
0.0412143	35	14	1	5.28237e-11	28973.2	0
0.0412143	36	15	1	1.66554e-10	8.52134	0
0.0412143	37	16	1	5.17016e-11	0.830198	0
0.0422143	2	39	1	1.85038e-10	2.29753	0
0.0422143	3	22	3	1.56924e-10	5.73035	0
0.0422143	3	23	1	8.41326e-11	1.70458	0
0.0422143	3	50	2	5.30672e-11	1.65	0
0.0422143	4	19	2	4.64263e-10	41.3456	0
0.0422143	4	36	1	1.57454e-11	1.2337	0
0.0422143	4	49	3	7.41152e-10	35.1226	0
0.0422143	6	24	6	2.65586e-10	13.3791	0
0.0422143	6	26	4	2.84257e-10	14.2761	0
0.0422143	6	30	3	2.41685e-11	0.865389	0
0.0422143	6	51	1	1.3017e-10	7.29107	0
0.0422143	6	56	2	5.97759e-10	21.4862	0
0.0422143	7	20	3	2.70856e-11	0.150638	0
0.0422143	7	29	1	1.39196e-10	1.11273	0
0.0422143	8	48	1	5.81629e-11	0.476509	0
0.0422143	9	40	1	1.44785e-10	4.50148	0
0.0422143	10	35	2	1.15098e-10	1.69285	0
0.0422143	10	42	1	3.71441e-10	2.8204	0
0.0422143	11	55	1	1.21116e-10	1.03378	0
0.0422143	12	18	1	3.48116e-10	0.777462	0
0.0422143	13	31	3	9.88938e-11	4.12837	0
0.0422143	13	33	6	1.76621e-10	4.84441	0
0.0422143	13	34	2	1.00307e-09	19.1694	0
0.0422143	13	37	1	1.568e-10	5.53438	0
0.0422143	13	41	4	9.40432e-10	15.8382	0
0.0422143	16	21	3	2.29555e-11	1.01881	0
0.0422143	16	43	1	9.51642e-11	0.587199	0
0.0422143	16	46	2	2.21609e-10	2.21678	0
0.0422143	17	25	9	5.06535e-11	1.30748	0
0.0422143	17	27	3	1.66218e-11	0.564427	0
0.0422143	17	28	2	3.34315e-11	0.920678	0
0.0422143	17	38	7	7.50853e-11	3.65049	0
0.0422143	17	45	1	1.29329e-11	0.538768	0
0.0422143	17	47	4	1.9844e-11	0.642117	0
0.0422143	17	52	10	4.26769e-11	1.42498	0
0.0422143	17	53	8	2.15268e-10	8.97901	0
0.0422143	18	57	1	9.94276e-11	0.429383	0
0.0422143	19	54	1	1.11058e-10	5.23256	0
0.0422143	21	17	5	3.47602e-11	0.608269	0
0.0422143	21	32	2	3.53114e-10	4.38721	0
0.0422143	21	44	1	1.05028e-10	1.00962	0
0.0422143	22	1	1	3.96469e-10	11.8435	0
0.0422143	23	2	1	2.34878e-09	65.3515	0
0.0422143	24	3	3	5.83885e-11	0.175617	0
0.0422143	25	4	1	1.25311e-10	0.631718	0
0.0422143	26	5	0	7.85841e-12	16567	0
0.0422143	27	6	1	1.8621e-10	0.460947	0
0.0422143	28	7	2	9.90227e-11	0.443515	0
0.0422143	29	8	1	5.85538e-10	64.5038	0
0.0422143	30	9	1	1.55632e-09	21.6565	0
0.0422143	31	10	1	9.51998e-11	0.25706	0
0.0422143	32	11	1	1.17833e-09	7.40327	0
0.0422143	33	12	1	9.2498e-10	38.1403	0
0.0422143	34	13	1	1.11509e-10	5.51575	0
0.0422143	35	14	1	5.28237e-11	28973.2	0
0.0422143	36	15	1	1.66554e-10	8.52134	0
0.0422143	37	16	1	5.17016e-11	0.830198	0
0.0432143	2	39	1	1.85038e-10	2.29753	0
0.0432143	3	22	3	1.56924e-10	5.73035	0
0.0432143	3	23	1	8.41326e-11	1.70458	0
0.0432143	3	50	2	5.30672e-11	1.65	0
0.0432143	4	19	2	4.64263e-10	41.3456	0
0.0432143	4	36	1	1.57454e-11	1.2337	0
0.0432143	4	49	3	7.41152e-10	35.1226	0
0.0432143	6	24	6	2.65586e-10	13.3791	0
0.0432143	6	26	4	2.84257e-10	14.2761	0
0.0432143	6	30	3	2.41685e-11	0.865389	0
0.0432143	6	51	1	1.3017e-10	7.29107	0
0.0432143	6	56	2	5.97759e-10	21.4862	0
0.0432143	7	20	3	2.70856e-11	0.150638	0
0.0432143	7	29	1	1.39196e-10	1.11273	0
0.0432143	8	48	1	5.81629e-11	0.476509	0
0.0432143	9	40	1	1.44785e-10	4.50148	0
0.0432143	10	35	2	1.15098e-10	1.69285	0
0.0432143	10	42	1	3.71441e-10	2.8204	0
0.0432143	11	55	1	1.21116e-10	1.03378	0
0.0432143	12	18	1	3.48116e-10	0.777462	0
0.0432143	13	31	3	9.88938e-11	4.12837	0
0.0432143	13	33	6	1.76621e-10	4.84441	0
0.0432143	13	34	2	1.00307e-09	19.1694	0
0.0432143	13	37	1	1.568e-10	5.53438	0
0.0432143	13	41	4	9.40432e-10	15.8382	0
0.0432143	16	21	3	2.29555e-11	1.01881	0
0.0432143	16	43	1	9.51642e-11	0.587199	0
0.0432143	16	46	2	2.21609e-10	2.21678	0
0.0432143	17	25	9	5.06535e-11	1.30748	0
0.0432143	17	27	3	1.66218e-11	0.564427	0
0.0432143	17	28	2	3.34315e-11	0.920678	0
0.0432143	17	38	7	7.50853e-11	3.65049	0
0.0432143	17	45	1	1.29329e-11	0.538768	0
0.0432143	17	47	4	1.9844e-11	0.642117	0
0.0432143	17	52	10	4.26769e-11	1.42498	0
0.0432143	17	53	8	2.15268e-10	8.97901	0
0.0432143	18	57	1	9.94276e-11	0.429383	0
0.0432143	19	54	1	1.11058e-10	5.23256	0
0.0432143	21	17	5	3.47602e-11	0.608269	0
0.0432143	21	32	2	3.53114e-10	4.38721	0
0.0432143	21	44	1	1.05028e-10	1.00962	0
0.0432143	22	1	1	3.96469e-10	11.8435	0
0.0432143	23	2	1	2.34878e-09	65.3515	0
0.0432143	24	3	3	5.83885e-11	0.175617	0
0.0432143	25	4	1	1.25311e-10	0.631718	0
0.0432143	26	5	0	7.85841e-12	16567	0
0.0432143	27	6	1	1.8621e-10	0.460947	0
0.0432143	28	7	2	9.90227e-11	0.443515	0
0.0432143	29	8	1	5.85538e-10	64.5038	0
0.0432143	30	9	1	1.55632e-09	21.6565	0
0.0432143	31	10	1	9.51998e-11	0.25706	0
0.0432143	32	11	1	1.17833e-09	7.40327	0
0.0432143	33	12	1	9.2498e-10	38.1403	0
0.0432143	34	13	1	1.11509e-10	5.51575	0
0.0432143	35	14	1	5.28237e-11	28973.2	0
0.0432143	36	15	1	1.66554e-10	8.52134	0
0.0432143	37	16	1	5.17016e-11	0.830198	0
0.0442143	2	39	1	1.85038e-10	2.29753	0
0.0442143	3	22	3	1.56924e-10	5.73035	0
0.0442143	3	23	1	8.41326e-11	1.70458	0
0.0442143	3	50	2	5.30672e-11	1.65	0
0.0442143	4	19	2	4.64263e-10	41.3456	0
0.0442143	4	36	1	1.57454e-11	1.2337	0
0.0442143	4	49	3	7.41152e-10	35.1226	0
0.0442143	6	24	6	2.65586e-10	13.3791	0
0.0442143	6	26	4	2.84257e-10	14.2761	0
0.0442143	6	30	3	2.41685e-11	0.865389	0
0.0442143	6	51	1	1.3017e-10	7.29107	0
0.0442143	6	56	2	5.97759e-10	21.4862	0
0.0442143	7	20	3	2.70856e-11	0.150638	0
0.0442143	7	29	1	1.39196e-10	1.11273	0
0.0442143	8	48	1	5.81629e-11	0.476509	0
0.0442143	9	40	1	1.44785e-10	4.50148	0
0.0442143	10	35	2	1.15098e-10	1.69285	0
0.0442143	10	42	1	3.71441e-10	2.8204	0
0.0442143	11	55	1	1.21116e-10	1.03378	0
0.0442143	12	18	1	3.48116e-10	0.777462	0
0.0442143	13	31	3	9.88938e-11	4.12837	0
0.0442143	13	33	6	1.76621e-10	4.84441	0
0.0442143	13	34	2	1.00307e-09	19.1694	0
0.0442143	13	37	1	1.568e-10	5.53438	0
0.0442143	13	41	4	9.40432e-10	15.8382	0
0.0442143	16	21	3	2.29555e-11	1.01881	0
0.0442143	16	43	1	9.51642e-11	0.587199	0
0.0442143	16	46	2	2.21609e-10	2.21678	0
0.0442143	17	25	9	5.06535e-11	1.30748	0
0.0442143	17	27	3	1.66218e-11	0.564427	0
0.0442143	17	28	2	3.34315e-11	0.920678	0
0.0442143	17	38	7	7.50853e-11	3.65049	0
0.0442143	17	45	1	1.29329e-11	0.538768	0
0.0442143	17	47	4	1.9844e-11	0.642117	0
0.0442143	17	52	10	4.26769e-11	1.42498	0
0.0442143	17	53	8	2.15268e-10	8.97901	0
0.0442143	18	57	1	9.94276e-11	0.429383	0
0.0442143	19	54	1	1.11058e-10	5.23256	0
0.0442143	21	17	5	3.47602e-11	0.608269	0
0.0442143	21	32	2	3.53114e-10	4.38721	0
0.0442143	21	44	1	1.05028e-10	1.00962	0
0.0442143	22	1	1	3.96469e-10	11.8435	0
0.0442143	23	2	1	2.34878e-09	65.3515	0
0.0442143	24	3	3	5.83885e-11	0.175617	0
0.0442143	25	4	1	1.25311e-10	0.631718	0
0.0442143	26	5	0	7.85841e-12	16567	0
0.0442143	27	6	1	1.8621e-10	0.460947	0
0.0442143	28	7	2	9.90227e-11	0.443515	0
0.0442143	29	8	1	5.85538e-10	64.5038	0
0.0442143	30	9	1	1.55632e-09	21.6565	0
0.0442143	31	10	1	9.51998e-11	0.25706	0
0.0442143	32	11	1	1.17833e-09	7.40327	0
0.0442143	33	12	1	9.2498e-10	38.1403	0
0.0442143	34	13	1	1.11509e-10	5.51575	0
0.0442143	35	14	1	5.28237e-11	28973.2	0
0.0442143	36	15	1	1.66554e-10	8.52134	0
0.0442143	37	16	1	5.17016e-11	0.830198	0
0.0452143	2	39	1	1.85038e-10	2.29753	0
0.0452143	3	22	3	1.56924e-10	5.73035	0
0.0452143	3	23	1	8.41326e-11	1.70458	0
0.0452143	3	50	2	5.30672e-11	1.65	0
0.0452143	4	19	2	4.64263e-10	41.3456	0
0.0452143	4	36	1	1.57454e-11	1.2337	0
0.0452143	4	49	3	7.41152e-10	35.1227	0
0.0452143	6	24	6	2.65586e-10	13.3791	0
0.0452143	6	26	4	2.84257e-10	14.2761	0
0.0452143	6	30	3	2.41685e-11	0.865389	0
0.0452143	6	51	1	1.3017e-10	7.29107	0
0.0452143	6	56	2	5.97759e-10	21.4862	0
0.0452143	7	20	3	2.70856e-11	0.150638	0
0.0452143	7	29	1	1.39196e-10	1.11273	0
0.0452143	8	48	1	5.81629e-11	0.476509	0
0.0452143	9	40	1	1.44785e-10	4.50148	0
0.0452143	10	35	2	1.15098e-10	1.69291	0
0.0452143	10	42	1	3.71441e-10	2.82069	0
0.0452143	11	55	1	1.21116e-10	1.03378	0
0.0452143	12	18	1	3.48116e-10	0.777462	0
0.0452143	13	31	3	9.88938e-11	4.12837	0
0.0452143	13	33	6	1.76621e-10	4.84441	0
0.0452143	13	34	2	1.00307e-09	19.1694	0
0.0452143	13	37	1	1.568e-10	5.53438	0
0.0452143	13	41	4	9.40432e-10	15.8382	0
0.0452143	16	21	3	2.29555e-11	1.01881	0
0.0452143	16	43	1	9.51642e-11	0.587199	0
0.0452143	16	46	2	2.21609e-10	2.21678	0
0.0452143	17	25	9	5.06535e-11	1.30748	0
0.0452143	17	27	3	1.66218e-11	0.564427	0
0.0452143	17	28	2	3.34315e-11	0.920678	0
0.0452143	17	38	7	7.50853e-11	3.65049	0
0.0452143	17	45	1	1.29329e-11	0.538768	0
0.0452143	17	47	4	1.9844e-11	0.642117	0
0.0452143	17	52	10	4.26769e-11	1.42498	0
0.0452143	17	53	8	2.15268e-10	8.97901	0
0.0452143	18	57	1	9.94276e-11	0.429383	0
0.0452143	19	54	1	1.11058e-10	5.23256	0
0.0452143	21	17	5	3.47602e-11	0.60827	0
0.0452143	21	32	2	3.53114e-10	4.38721	0
0.0452143	21	44	1	1.05028e-10	1.00962	0
0.0452143	22	1	1	3.96469e-10	11.8435	0
0.0452143	23	2	1	2.34878e-09	65.3515	0
0.0452143	24	3	3	5.83885e-11	123094	0
0.0452143	25	4	1	1.25311e-10	0.631739	0
0.0452143	26	5	0	7.85841e-12	16567	0
0.0452143	27	6	1	1.8621e-10	0.460994	0
0.0452143	28	7	2	9.90227e-11	0.443515	0
0.0452143	29	8	1	5.85538e-10	64.5038	0
0.0452143	30	9	1	1.55632e-09	21.657	0
0.0452143	31	10	1	9.51998e-11	0.25706	0
0.0452143	32	11	1	1.17833e-09	7.40328	0
0.0452143	33	12	1	9.2498e-10	38.1403	0
0.0452143	34	13	1	1.11509e-10	5.51575	0
0.0452143	35	14	1	5.28237e-11	28973.2	0
0.0452143	36	15	1	1.66554e-10	8.52134	0
0.0452143	37	16	1	5.17016e-11	0.830198	0
0.0462143	2	39	1	1.85038e-10	2.29759	0
0.0462143	3	22	3	1.56924e-10	5.73039	0
0.0462143	3	23	1	8.41326e-11	1.7046	0
0.0462143	3	50	2	5.30672e-11	1.65002	0
0.0462143	4	19	2	4.64263e-10	41.346	0
0.0462143	4	36	1	1.57454e-11	1.2337	0
0.0462143	4	49	3	7.41152e-10	35.1234	0
0.0462143	6	24	6	2.65586e-10	13.3793	0
0.0462143	6	26	4	2.84257e-10	14.2767	0
0.0462143	6	30	3	2.41685e-11	0.865391	0
0.0462143	6	51	1	1.3017e-10	7.29137	0
0.0462143	6	56	2	5.97759e-10	21.4863	0
0.0462143	7	20	3	2.70856e-11	0.150643	0
0.0462143	7	29	1	1.39196e-10	1.11276	0
0.0462143	8	48	1	5.81629e-11	0.47651	0
0.0462143	9	40	1	1.44785e-10	4.50153	0
0.0462143	10	35	2	1.15098e-10	1.69309	0
0.0462143	10	42	1	3.71441e-10	2.82106	0
0.0462143	11	55	1	1.21116e-10	1.03379	0
0.0462143	12	18	1	3.48116e-10	0.77761	0
0.0462143	13	31	3	9.88938e-11	4.12843	0
0.0462143	13	33	6	1.76621e-10	4.84442	0
0.0462143	13	34	2	1.00307e-09	19.1695	0
0.0462143	13	37	1	1.568e-10	5.5344	0
0.0462143	13	41	4	9.40432e-10	15.8382	0
0.0462143	16	21	3	2.29555e-11	1.01882	0
0.0462143	16	43	1	9.51642e-11	0.587202	0
0.0462143	16	46	2	2.21609e-10	2.21681	0
0.0462143	17	25	9	5.06535e-11	1.30749	0
0.0462143	17	27	3	1.66218e-11	0.564428	0
0.0462143	17	28	2	3.34315e-11	0.920678	0
0.0462143	17	38	7	7.50853e-11	3.65049	0
0.0462143	17	45	1	1.29329e-11	0.53877	0
0.0462143	17	47	4	1.9844e-11	0.642117	0
0.0462143	17	52	10	4.26769e-11	1.42498	0
0.0462143	17	53	8	2.15268e-10	8.97911	0
0.0462143	18	57	1	9.94276e-11	0.429392	0
0.0462143	19	54	1	1.11058e-10	5.23265	0
0.0462143	21	17	5	3.47602e-11	0.608271	0
0.0462143	21	32	2	3.53114e-10	4.38721	0
0.0462143	21	44	1	1.05028e-10	1.00963	0
0.0462143	22	1	1	3.96469e-10	11.8438	0
0.0462143	23	2	1	2.34878e-09	65.352	0
0.0462143	24	3	3	5.83885e-11	123094	0
0.0462143	25	4	1	1.25311e-10	0.631749	0
0.0462143	26	5	0	7.85841e-12	16567	0
0.0462143	27	6	1	1.8621e-10	0.460996	0
0.0462143	28	7	2	9.90227e-11	0.44464	0
0.0462143	29	8	1	5.85538e-10	64.5043	0
0.0462143	30	9	1	1.55632e-09	21.6572	0
0.0462143	31	10	1	9.51998e-11	200699	0
0.0462143	32	11	1	1.17833e-09	7.40345	0
0.0462143	33	12	1	9.2498e-10	38.1403	0
0.0462143	34	13	1	1.11509e-10	5.51586	0
0.0462143	35	14	1	5.28237e-11	28973.2	0
0.0462143	36	15	1	1.66554e-10	8.52247	0
0.0462143	37	16	1	5.17016e-11	0.830377	0
0.0472143	2	39	1	1.85038e-10	2.29753	0
0.0472143	3	22	3	1.56924e-10	5.73035	0
0.0472143	3	23	1	8.41326e-11	1.70458	0
0.0472143	3	50	2	5.30672e-11	1.65	0
0.0472143	4	19	2	4.64263e-10	41.3456	0
0.0472143	4	36	1	1.57454e-11	1.2337	0
0.0472143	4	49	3	7.41152e-10	35.1226	0
0.0472143	6	24	6	2.65586e-10	13.3791	0
0.0472143	6	26	4	2.84257e-10	14.2761	0
0.0472143	6	30	3	2.41685e-11	0.865389	0
0.0472143	6	51	1	1.3017e-10	7.29107	0
0.0472143	6	56	2	5.97759e-10	21.4862	0
0.0472143	7	20	3	2.70856e-11	0.150638	0
0.0472143	7	29	1	1.39196e-10	1.11273	0
0.0472143	8	48	1	5.81629e-11	0.476509	0
0.0472143	9	40	1	1.44785e-10	4.50148	0
0.0472143	10	35	2	1.15098e-10	1.69285	0
0.0472143	10	42	1	3.71441e-10	2.8204	0
0.0472143	11	55	1	1.21116e-10	1.03378	0
0.0472143	12	18	1	3.48116e-10	0.777462	0
0.0472143	13	31	3	9.88938e-11	4.12837	0
0.0472143	13	33	6	1.76621e-10	4.84441	0
0.0472143	13	34	2	1.00307e-09	19.1694	0
0.0472143	13	37	1	1.568e-10	5.53438	0
0.0472143	13	41	4	9.40432e-10	15.8382	0
0.0472143	16	21	3	2.29555e-11	1.01881	0
0.0472143	16	43	1	9.51642e-11	0.587199	0
0.0472143	16	46	2	2.21609e-10	2.21678	0
0.0472143	17	25	9	5.06535e-11	1.30748	0
0.0472143	17	27	3	1.66218e-11	0.564427	0
0.0472143	17	28	2	3.34315e-11	0.920678	0
0.0472143	17	38	7	7.50853e-11	3.65049	0
0.0472143	17	45	1	1.29329e-11	0.538768	0
0.0472143	17	47	4	1.9844e-11	0.642117	0
0.0472143	17	52	10	4.26769e-11	1.42498	0
0.0472143	17	53	8	2.15268e-10	8.97901	0
0.0472143	18	57	1	9.94276e-11	0.429383	0
0.0472143	19	54	1	1.11058e-10	5.23256	0
0.0472143	21	17	5	3.47602e-11	0.608269	0
0.0472143	21	32	2	3.53114e-10	4.38721	0
0.0472143	21	44	1	1.05028e-10	1.00962	0
0.0472143	22	1	1	3.96469e-10	11.8435	0
0.0472143	23	2	1	2.34878e-09	65.3515	0
0.0472143	24	3	3	5.83885e-11	0.175617	0
0.0472143	25	4	1	1.25311e-10	0.631718	0
0.0472143	26	5	0	7.85841e-12	16567	0
0.0472143	27	6	1	1.8621e-10	0.460947	0
0.0472143	28	7	2	9.90227e-11	0.443515	0
0.0472143	29	8	1	5.85538e-10	64.5038	0
0.0472143	30	9	1	1.55632e-09	21.6565	0
0.0472143	31	10	1	9.51998e-11	0.25706	0
0.0472143	32	11	1	1.17833e-09	7.40327	0
0.0472143	33	12	1	9.2498e-10	38.1403	0
0.0472143	34	13	1	1.11509e-10	5.51575	0
0.0472143	35	14	1	5.28237e-11	28973.2	0
0.0472143	36	15	1	1.66554e-10	8.52134	0
0.0472143	37	16	1	5.17016e-11	0.830198	0
0.0482143	2	39	1	1.85038e-10	2.29753	0
0.0482143	3	22	3	1.56924e-10	5.73035	0
0.0482143	3	23	1	8.41326e-11	1.70458	0
0.0482143	3	50	2	5.30672e-11	1.65	0
0.0482143	4	19	2	4.64263e-10	41.3456	0
0.0482143	4	36	1	1.57454e-11	1.2337	0
0.0482143	4	49	3	7.41152e-10	35.1226	0
0.0482143	6	24	6	2.65586e-10	13.3791	0
0.0482143	6	26	4	2.84257e-10	14.2761	0
0.0482143	6	30	3	2.41685e-11	0.865389	0
0.0482143	6	51	1	1.3017e-10	7.29107	0
0.0482143	6	56	2	5.97759e-10	21.4862	0
0.0482143	7	20	3	2.70856e-11	0.150638	0
0.0482143	7	29	1	1.39196e-10	1.11273	0
0.0482143	8	48	1	5.81629e-11	0.476509	0
0.0482143	9	40	1	1.44785e-10	4.50148	0
0.0482143	10	35	2	1.15098e-10	1.69285	0
0.0482143	10	42	1	3.71441e-10	2.8204	0
0.0482143	11	55	1	1.21116e-10	1.03378	0
0.0482143	12	18	1	3.48116e-10	0.777462	0
0.0482143	13	31	3	9.88938e-11	4.12837	0
0.0482143	13	33	6	1.76621e-10	4.84441	0
0.0482143	13	34	2	1.00307e-09	19.1694	0
0.0482143	13	37	1	1.568e-10	5.53438	0
0.0482143	13	41	4	9.40432e-10	15.8382	0
0.0482143	16	21	3	2.29555e-11	1.01881	0
0.0482143	16	43	1	9.51642e-11	0.587199	0
0.0482143	16	46	2	2.21609e-10	2.21678	0
0.0482143	17	25	9	5.06535e-11	1.30748	0
0.0482143	17	27	3	1.66218e-11	0.564427	0
0.0482143	17	28	2	3.34315e-11	0.920678	0
0.0482143	17	38	7	7.50853e-11	3.65049	0
0.0482143	17	45	1	1.29329e-11	0.538768	0
0.0482143	17	47	4	1.9844e-11	0.642117	0
0.0482143	17	52	10	4.26769e-11	1.42498	0
0.0482143	17	53	8	2.15268e-10	8.97901	0
0.0482143	18	57	1	9.94276e-11	0.429383	0
0.0482143	19	54	1	1.11058e-10	5.23256	0
0.0482143	21	17	5	3.47602e-11	0.608269	0
0.0482143	21	32	2	3.53114e-10	4.38721	0
0.0482143	21	44	1	1.05028e-10	1.00962	0
0.0482143	22	1	1	3.96469e-10	11.8435	0
0.0482143	23	2	1	2.34878e-09	65.3515	0
0.0482143	24	3	3	5.83885e-11	0.175617	0
0.0482143	25	4	1	1.25311e-10	0.631718	0
0.0482143	26	5	0	7.85841e-12	16567	0
0.0482143	27	6	1	1.8621e-10	0.460947	0
0.0482143	28	7	2	9.90227e-11	0.443515	0
0.0482143	29	8	1	5.85538e-10	64.5038	0
0.0482143	30	9	1	1.55632e-09	21.6565	0
0.0482143	31	10	1	9.51998e-11	0.25706	0
0.0482143	32	11	1	1.17833e-09	7.40327	0
0.0482143	33	12	1	9.2498e-10	38.1403	0
0.0482143	34	13	1	1.11509e-10	5.51575	0
0.0482143	35	14	1	5.28237e-11	28973.2	0
0.0482143	36	15	1	1.66554e-10	8.52134	0
0.0482143	37	16	1	5.17016e-11	0.830198	0
0.0492143	2	39	1	1.85038e-10	2.29753	0
0.0492143	3	22	3	1.56924e-10	5.73035	0
0.0492143	3	23	1	8.41326e-11	1.70458	0
0.0492143	3	50	2	5.30672e-11	1.65	0
0.0492143	4	19	2	4.64263e-10	41.3456	0
0.0492143	4	36	1	1.57454e-11	1.2337	0
0.0492143	4	49	3	7.41152e-10	35.1227	0
0.0492143	6	24	6	2.65586e-10	13.3791	0
0.0492143	6	26	4	2.84257e-10	14.2761	0
0.0492143	6	30	3	2.41685e-11	0.865389	0
0.0492143	6	51	1	1.3017e-10	7.29107	0
0.0492143	6	56	2	5.97759e-10	21.4862	0
0.0492143	7	20	3	2.70856e-11	0.150638	0
